PK_STATION|STATION_NAME|WATERBODY_TYPE|WATER_RESOURCE|WATERBODY_NAME|COUNTY_NAME|HYDROLOGIC_UNIT_CODE|TMDL_BASIN|WBID|PLANNING_UNIT|GIS_ALBX|GIS_ALBY|LATITUDE|LONGITUDE|LAT_DD|LAT_MM|LAT_SS|LONG_DD|LONG_MM|LONG_SS|CMCD_COORDINATE_METHOD_ID|DCD_DATUM_ID|PK_PROJECT|COLLECTION_AGENCY|COLLECTION_DATE|COLLECTION_TIME|SAMPLE_TYPE|MATRIX|SAMPLE_DEPTH|SAMPLE_COMMENTS|FK_PARAM_CODE|PARAMETER|VALUE|VALUE_TEXT|UNITS|VALUE_QUALIFIER|MDL|PQL|ANALYZING_AGENCY|JOB_NAME|LAB_SAMPLE_ID|ANALYSIS_METHOD|ANALYSIS_DATE|ANALYSIS_TIME|RESULT_COMMENT
21781|NW1-SS-2006|STREAM|SMALL STREAM|SALEM BRANCH|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|480|NORTH OCHLOCKONEE RIVER|357708.54|735530.89|303736.738|842629.448|30|37|36.738|84|26|29.448|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/6/2004 11:54:00 AM|1154|BOTTOM|WATER|0.5|SALEM BRANCH. UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL|10|Water Temperature|17.37|17.37|degrees C||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 170.1|5/6/2004 11:54:00 AM|1154|UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL
21781|NW1-SS-2006|STREAM|SMALL STREAM|SALEM BRANCH|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|480|NORTH OCHLOCKONEE RIVER|357708.54|735530.89|303736.738|842629.448|30|37|36.738|84|26|29.448|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/6/2004 11:54:00 AM|1154|BOTTOM|WATER|0.5|SALEM BRANCH. UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL|94|Specific Conductance, Field|263|263|uS/cm||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 120.1|5/6/2004 11:54:00 AM|1154|UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL
21781|NW1-SS-2006|STREAM|SMALL STREAM|SALEM BRANCH|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|480|NORTH OCHLOCKONEE RIVER|357708.54|735530.89|303736.738|842629.448|30|37|36.738|84|26|29.448|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/6/2004 11:54:00 AM|1154|BOTTOM|WATER|0.5|SALEM BRANCH. UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL|299|Oxygen, Dissolved, Field|7.68|7.68|mg/L||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 360.1|5/6/2004 11:54:00 AM|1154|UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL
21781|NW1-SS-2006|STREAM|SMALL STREAM|SALEM BRANCH|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|480|NORTH OCHLOCKONEE RIVER|357708.54|735530.89|303736.738|842629.448|30|37|36.738|84|26|29.448|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/6/2004 11:54:00 AM|1154|BOTTOM|WATER|0.5|SALEM BRANCH. UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL|406|pH, Field|6.63|6.63|SU||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 150.1|5/6/2004 11:54:00 AM|1154|UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL
21781|NW1-SS-2006|STREAM|SMALL STREAM|SALEM BRANCH|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|480|NORTH OCHLOCKONEE RIVER|357708.54|735530.89|303736.738|842629.448|30|37|36.738|84|26|29.448|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/6/2004 11:54:00 AM|1154|BOTTOM|WATER|0.5|SALEM BRANCH. UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL|90068|Sample Depth|0.5|.5|meters||||DEP AMBIENT WATER QUALITY MONITORING||||5/6/2004 11:54:00 AM|1154|UPDATE MADE BY MOUCTAR MOUSTAPHA AT THE REQUEST OF MARK PRIZTL
21794|NW1-SS-2041|STREAM|SMALL STREAM|LITTLE RIVER|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|424|NORTH OCHLOCKONEE RIVER|351396.32|729591.89|303423.275|843025.761|30|34|23.275|84|30|25.761|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/11/2004 3:43:00 PM|1543|BOTTOM|WATER|0.5|LITTLE RIVER|10|Water Temperature|22.37|22.37|degrees C||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 170.1|5/11/2004 3:43:00 PM|1543|
21794|NW1-SS-2041|STREAM|SMALL STREAM|LITTLE RIVER|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|424|NORTH OCHLOCKONEE RIVER|351396.32|729591.89|303423.275|843025.761|30|34|23.275|84|30|25.761|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/11/2004 3:43:00 PM|1543|BOTTOM|WATER|0.5|LITTLE RIVER|94|Specific Conductance, Field|97|97|uS/cm||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 120.1|5/11/2004 3:43:00 PM|1543|
21794|NW1-SS-2041|STREAM|SMALL STREAM|LITTLE RIVER|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|424|NORTH OCHLOCKONEE RIVER|351396.32|729591.89|303423.275|843025.761|30|34|23.275|84|30|25.761|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/11/2004 3:43:00 PM|1543|BOTTOM|WATER|0.5|LITTLE RIVER|299|Oxygen, Dissolved, Field|8.01|8.01|mg/L||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 360.1|5/11/2004 3:43:00 PM|1543|
21794|NW1-SS-2041|STREAM|SMALL STREAM|LITTLE RIVER|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|424|NORTH OCHLOCKONEE RIVER|351396.32|729591.89|303423.275|843025.761|30|34|23.275|84|30|25.761|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/11/2004 3:43:00 PM|1543|BOTTOM|WATER|0.5|LITTLE RIVER|406|pH, Field|6.33|6.33|SU||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 150.1|5/11/2004 3:43:00 PM|1543|
21794|NW1-SS-2041|STREAM|SMALL STREAM|LITTLE RIVER|GADSDEN|03120003|OCHLOCKONEE - ST. MARKS|424|NORTH OCHLOCKONEE RIVER|351396.32|729591.89|303423.275|843025.761|30|34|23.275|84|30|25.761|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/11/2004 3:43:00 PM|1543|BOTTOM|WATER|0.5|LITTLE RIVER|90068|Sample Depth|0.5|.5|meters||||DEP AMBIENT WATER QUALITY MONITORING||||5/11/2004 3:43:00 PM|1543|
21795|NW1-SS-2043|STREAM|SMALL STREAM|BIG CREEK|LIBERTY|03120003|OCHLOCKONEE - ST. MARKS|913|TELOGIA CREEK|321883.59|712214.75|302454.437|844850.050|30|24|54.437|84|48|50.05|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/25/2004 2:45:00 PM|1445|BOTTOM|WATER|0.3|BIG CREEK|10|Water Temperature|20.17|20.17|degrees C||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 170.1|5/25/2004 2:45:00 PM|1445|
21795|NW1-SS-2043|STREAM|SMALL STREAM|BIG CREEK|LIBERTY|03120003|OCHLOCKONEE - ST. MARKS|913|TELOGIA CREEK|321883.59|712214.75|302454.437|844850.050|30|24|54.437|84|48|50.05|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/25/2004 2:45:00 PM|1445|BOTTOM|WATER|0.3|BIG CREEK|94|Specific Conductance, Field|17|17|uS/cm||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 120.1|5/25/2004 2:45:00 PM|1445|
21795|NW1-SS-2043|STREAM|SMALL STREAM|BIG CREEK|LIBERTY|03120003|OCHLOCKONEE - ST. MARKS|913|TELOGIA CREEK|321883.59|712214.75|302454.437|844850.050|30|24|54.437|84|48|50.05|DGPS|WGS84|NWSS0404|NORTHWEST FLORIDA WMD|5/25/2004 2:45:00 PM|1445|BOTTOM|WATER|0.3|BIG CREEK|299|Oxygen, Dissolved, Field|8.17|8.17|mg/L||||DEP AMBIENT WATER QUALITY MONITORING|||EPA 360.1|5/25/2004 2:45:00 PM|1445|
