"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","abbreviation","stream_type","location","comment","geometry"
"1","Site-01","Base","None",-85.9792951397977,30.5818340156135,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210336.187962592, 731979.113990382)
"2","Site-02","Base","None",-85.9783880203201,30.583619714196,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210426.283329968, 732175.846497922)
"3","Site-03","Base","None",-85.9800969236747,30.5799666131025,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210256.037101115, 731773.154574806)
"4","Site-04","Base","None",-85.9792967479269,30.5670056112994,"mck",831.499282779009,0.00120264685816425,"mck_br","mck","adjacent_to_sand_plant_road","mining_symbols_on_openstreetmap",c(210309.6239307, 730333.861114246)
"5","Site-05","Base","None",-86.0386400823358,30.5761947760892,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","headwaters_sevens_run_above_first_confluence","no_comment",c(204639.677898509, 731446.074546437)
"6","Site-06","Base","None",-86.0282821572494,30.5748373524688,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","headwaters_sevens_run_above_first_confluence","no_comment",c(205629.69954575, 731279.097627666)
"7","Site-07","Base","None",-86.0161970035244,30.568360008489,"mst_a",2842.06765352404,0.000351856507975819,"sr_mst","mst_a","just_below_first_confluence","road_crossing",c(206775.967162612, 730541.427058729)
"8","Site-08","Base","None",-85.9780428366482,30.5587196887288,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_fifth_confluence_mck_br","no_comment",c(210415.03695971, 729412.577493428)
"9","Site-09","Base","None",-85.9635395229751,30.5569900601066,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_sixth_and_seventh_confluences_sm_br","road_crossing",c(211801.931737715, 729198.451560834)
"10","Site-10","Base","None",-85.9625686275064,30.5571525512366,"mst_b",2403.00188049215,0.000416146157902796,"sr_mst","mst_b","just_below_sixth_and_seventh_confluences_sm_br","road_crossing",c(211895.267794252, 729214.999312802)
