,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,strm_abbreviation,stream_type,field_name,eval_cat,location,comment,geometry,
1,Site-01,Base,None,-85.97929514,30.58183402,mck,831.4992828,0.001202647,mck_br,mck,mck_a,sampleable,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210336.187962592, 731979.113990382)
2,Site-02,Base,None,-85.97838802,30.58361971,mck,831.4992828,0.001202647,mck_br,mck,inaccessible,inaccessible,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210426.283329968, 732175.846497922)
3,Site-03,Base,None,-85.98009692,30.57996661,mck,831.4992828,0.001202647,mck_br,mck,mck_b,sampleable,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210256.037101115, 731773.154574806)
4,Site-04,Base,None,-85.97929675,30.56700561,mck,831.4992828,0.001202647,mck_br,mck,mck_d,sampleable,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210309.6239307, 730333.861114246)
5,Site-05,Base,None,-86.03864008,30.57619478,mst_a,2842.067654,0.000351857,sr_mst,mst_a,mst_a,sampleable,headwaters_sevens_run_above_first_confluence,no_comment,c(204639.677898509, 731446.074546437)
6,Site-06,Base,None,-86.02828216,30.57483735,mst_a,2842.067654,0.000351857,sr_mst,mst_a,mst_b,sampleable,headwaters_sevens_run_above_first_confluence,no_comment,c(205629.69954575, 731279.097627666)
7,Site-07,Base,None,-86.016197,30.56836001,mst_a,2842.067654,0.000351857,sr_mst,mst_a,mst_c,sampleable,just_below_first_confluence,road_crossing,c(206775.967162612, 730541.427058729)
8,Site-08,Base,None,-85.97804284,30.55871969,mst_b,2403.00188,0.000416146,sr_mst,mst_b,mst_d,sampleable,just_below_fifth_confluence_mck_br,no_comment,c(210415.03695971, 729412.577493428)
9,Site-09,Base,None,-85.96353952,30.55699006,mst_b,2403.00188,0.000416146,sr_mst,mst_b,mst_e,sampleable,just_below_sixth_and_seventh_confluences_sm_br,road_crossing,c(211801.931737715, 729198.451560834)
10,Site-10,Base,None,-85.96256863,30.55715255,mst_b,2403.00188,0.000416146,sr_mst,mst_b,mst_f,sampleable,just_below_sixth_and_seventh_confluences_sm_br,road_crossing,c(211895.267794252, 729214.999312802)
11,Site-11,Base,None,-85.94344206,30.58583793,otr,3258.647507,0.000306876,mi_br,otr,lack_permission,lack_permission,tip_near_hwy81_rockhill_road,ponds_visible_world_imagery,c(213778.49166552, 732368.714153254)
12,Site-12,Base,None,-85.96680276,30.5635061,otr,3258.647507,0.000306876,sm_br,otr,sm_br_c,sampleable,below_confluence_with_unnamed_trib,sand_plant_road_to_west,c(211500.720069892, 729926.417861911)
13,Site-13,Base,None,-85.98460753,30.54877685,otr,3258.647507,0.000306876,s_un_trib2,otr,s_un_trib2_a,not_target,confluences_near_mckinnon_branch,no_comment,c(209768.142739761, 728319.484460482)
14,Site-14,Base,None,-85.91936991,30.54949568,otr,3258.647507,0.000306876,n_un_trib3,otr,n_un_trib3_a,not_target,crosses_hwy_81,impoundment,c(216022.146196419, 728300.257387619)
15,Site-15,Base,None,-85.91663939,30.56729368,otr,3258.647507,0.000306876,n_un_trib3,otr,lack_permission,lack_permission,crosses_hwy_81,impoundment,c(216314.550012566, 730270.965557227)
16,Site-16,Base,None,-85.96683735,30.57047536,otr,3258.647507,0.000306876,sm_br,otr,sm_br_b,sampleable,below_confluence_with_unnamed_trib,sand_plant_road_to_west,c(211509.739947518, 730699.73615572)
17,Site-17,Base,None,-85.98159429,30.55736231,otr,3258.647507,0.000306876,s_un_trib2,otr,s_un_trib2_b,sampleable,confluences_near_mckinnon_branch,no_comment,c(210072.25672883, 729267.435457662)
18,Site-18,Base,None,-85.97144663,30.55081386,otr,3258.647507,0.000306876,gh_br,otr,gr_br_a,not_target,uppertip_encompassed_by_three_roads,no_comment,c(211033.171213633, 728525.26540498)
19,Site-19,Base,None,-85.96493598,30.58092099,otr,3258.647507,0.000306876,sm_br,otr,sm_br_a,sampleable,above_confluence_with_unnamed_trib,sand_plant_road_to_west,c(211710.410242346, 731855.806879534)
20,Site-20,Base,None,-85.99908797,30.57820113,otr,3258.647507,0.000306876,pa_br,otr,pa_br_a,sampleable,middle_reach_piece,no_comment,c(208433.188431396, 731606.631450377)
21,Site-21,Over,Next,-85.9819628,30.57436214,mck,831.4992828,0.001202647,mck_br,mck,inaccessible,inaccessible,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210067.257996103, 731154.195523504)
22,Site-22,Over,Next,-85.97952251,30.56949571,mck,831.4992828,0.001202647,mck_br,mck,mck_c,sampleable,adjacent_to_sand_plant_road,mining_symbols_on_openstreetmap,c(210292.425054544, 730610.493410342)
23,Site-23,Over,Next,-86.00430024,30.56402427,mst_a,2842.067654,0.000351857,sr_mst,mst_a,mst_above_over1,not_needed,just_below_first_confluence,road_crossing,c(207908.186030699, 730041.776495114)
24,Site-24,Over,Next,-85.98414038,30.56062482,mst_a,2842.067654,0.000351857,sr_mst,mst_a,mst_above_over2,not_needed,just_below_third_confluence,no_comment,c(209834.070565383, 729633.34860878)
25,Site-25,Over,Next,-85.94887791,30.55428705,mst_b,2403.00188,0.000416146,sr_mst,mst_b,mst_below_over1,not_needed,just_below_ninth_confluence_ca_br,road_crossing_nearby_on_mi_br,c(213202.33819883, 728876.246767445)
